timestamp,city,avg_temp,humidity,wind_kph
2024-05-31,San Salvador,26.1,76.1,11.4
2024-05-24,Malabo,26.0,83,16.9
2024-05-25,Malabo,25.9,84,6.5
2024-05-26,Malabo,26.7,79,10.8
2024-05-27,Malabo,26.7,84,14.8
2024-05-28,Malabo,26.6,85,14.4
2024-05-29,Malabo,26.9,85,18.4
2024-05-30,Malabo,26.0,86,20.2
2024-05-31,Malabo,26.7,86.1,19.9
2024-05-24,Asmara,22.9,33,11.2
2024-05-25,Asmara,22.6,33,15.8
2024-05-26,Asmara,22.0,34,14.8
2024-05-27,Asmara,22.7,33,12.2
2024-05-28,Asmara,23.4,26,22.0
2024-05-29,Asmara,23.8,20,23.8
2024-05-30,Asmara,22.3,21,27.0
2024-05-31,Asmara,23.1,18.6,28.2
2024-05-24,Tallinn,18.0,65,17.6
2024-05-25,Tallinn,16.4,87,11.9
2024-05-26,Tallinn,17.6,76,10.8
2024-05-27,Tallinn,18.6,69,10.1
2024-05-28,Tallinn,18.0,69,12.2
2024-05-29,Tallinn,17.1,78,10.4
2024-05-30,Tallinn,16.6,83,10.1
2024-05-31,Tallinn,17.1,79.4,8.4
2024-05-24,Mbabane,14.9,57,12.6
2024-05-25,Mbabane,14.8,75,14.8
2024-05-26,Mbabane,15.8,53,10.4
2024-05-27,Mbabane,13.3,75,12.2
2024-05-28,Mbabane,14.5,68,11.9
2024-05-29,Mbabane,14.7,57,13.3
2024-05-30,Mbabane,15.6,42,11.2
2024-05-31,Mbabane,14.9,51.6,11.5
2024-05-24,Addis Ababa,20.5,45,23.4
2024-05-25,Addis Ababa,20.5,41,23.4
2024-05-26,Addis Ababa,20.5,39,16.2
2024-05-27,Addis Ababa,20.4,36,20.2
2024-05-28,Addis Ababa,20.6,36,24.5
2024-05-29,Addis Ababa,20.9,33,19.8
2024-05-30,Addis Ababa,21.0,26,22.7
2024-05-31,Addis Ababa,21.0,25.7,21.3
2024-05-24,Palikir,28.5,82,27.0
2024-05-25,Palikir,28.6,81,24.8
2024-05-26,Palikir,28.7,80,25.2
2024-05-27,Palikir,28.4,82,30.2
2024-05-28,Palikir,28.1,80,31.3
2024-05-29,Palikir,28.3,79,25.6
2024-05-30,Palikir,28.4,81,25.9
2024-05-31,Palikir,28.2,79.7,27.8
2024-05-24,Suva,24.5,86,7.9
2024-05-25,Suva,24.5,87,19.1
2024-05-26,Suva,24.0,89,19.1
2024-05-27,Suva,24.9,88,11.2
2024-05-28,Suva,24.7,90,16.6
2024-05-29,Suva,23.8,90,23.4
2024-05-30,Suva,23.1,86,23.4
2024-05-31,Suva,23.5,89.0,24.8
2024-05-24,Helsinki,15.9,67,14.0
2024-05-25,Helsinki,15.7,84,15.8
2024-05-26,Helsinki,15.8,77,13.0
2024-05-27,Helsinki,15.7,67,14.0
2024-05-28,Helsinki,17.4,64,13.3
2024-05-29,Helsinki,16.0,77,11.9
2024-05-30,Helsinki,15.9,78,11.2
